Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-07-31,Expected Increase,21.47838888888887,-197.62688888888886,Failed,219.10527777777773
2015-09-30,Expected Increase,162.22733333333335,-111.01233333333332,Failed,273.23966666666666
2015-11-30,Expected Increase,435.23777777777775,312.80572222222213,Failed,122.43205555555562
2015-12-31,Expected Increase,282.1226666666666,-145.4540833333333,Failed,427.5767499999999
2016-03-31,Expected Increase,68.05650000000007,-256.1725,Failed,324.2290000000001
2016-07-31,Expected Increase,21.47838888888887,109.81927777777784,Exceeded,88.34088888888897
2016-09-30,Expected Increase,162.22733333333335,72.725,Failed,89.50233333333335
2016-11-30,Expected Increase,435.23777777777775,-315.8714444444443,Failed,751.1092222222221
2016-12-31,Expected Increase,282.1226666666666,254.1347500000001,Failed,27.98791666666648
2017-03-31,Expected Increase,68.05650000000007,120.15958333333334,Exceeded,52.103083333333274
2017-07-31,Expected Increase,21.47838888888887,97.84161111111106,Exceeded,76.36322222222219
2017-09-30,Expected Increase,162.22733333333335,48.32133333333334,Failed,113.906
2017-11-30,Expected Increase,435.23777777777775,13.09972222222217,Failed,422.1380555555556
2017-12-31,Expected Increase,282.1226666666666,-98.64666666666665,Failed,380.76933333333324
2018-03-31,Expected Increase,68.05650000000007,146.04691666666673,Exceeded,77.99041666666666
2015-08-31,Expected Drop,-172.50766666666667,54.12758333333332,Exceeded,226.63524999999998
2015-10-31,Expected Drop,-38.08338888888886,64.18355555555559,Exceeded,102.26694444444445
2016-01-31,Expected Drop,-175.99972222222223,-155.8501111111111,Exceeded,20.149611111111142
2016-02-29,Expected Drop,-136.27949999999998,165.53116666666665,Exceeded,301.81066666666663
2016-04-30,Expected Drop,-180.84849999999997,9.641166666666692,Exceeded,190.48966666666666
2016-05-31,Expected Drop,-59.55249999999996,121.77366666666671,Exceeded,181.32616666666667
2016-06-30,Expected Drop,-205.85138888888892,75.69855555555563,Exceeded,281.5499444444446
2016-08-31,Expected Drop,-172.50766666666667,-210.1265833333333,Below Expected,37.61891666666662
2016-10-31,Expected Drop,-38.08338888888886,81.91313888888891,Exceeded,119.99652777777777
2017-01-31,Expected Drop,-175.99972222222223,16.566555555555595,Exceeded,192.56627777777783
2017-02-28,Expected Drop,-136.27949999999998,17.053000000000054,Exceeded,153.33250000000004
2017-04-30,Expected Drop,-180.84849999999997,-31.674333333333266,Exceeded,149.1741666666667
2017-05-31,Expected Drop,-59.55249999999996,-205.70583333333337,Below Expected,146.15333333333342
2017-06-30,Expected Drop,-205.85138888888892,-65.85519444444444,Exceeded,139.99619444444448
2017-08-31,Expected Drop,-172.50766666666667,166.03300000000004,Exceeded,338.5406666666667
2017-10-31,Expected Drop,-38.08338888888886,-136.06269444444442,Below Expected,97.97930555555556
2018-01-31,Expected Drop,-175.99972222222223,149.31755555555557,Exceeded,325.3172777777778
2018-02-28,Expected Drop,-136.27949999999998,-172.55016666666666,Below Expected,36.27066666666667
2018-04-30,Expected Drop,-180.84849999999997,32.06716666666665,Exceeded,212.91566666666662
2018-05-31,Expected Drop,-59.55249999999996,93.96616666666671,Exceeded,153.51866666666666
2018-06-30,Expected Drop,-205.85138888888892,0.19063888888888414,Exceeded,206.0420277777778
Total,N/A,N/A,N/A,Expected Increase but Failed Total,3151.995611111111
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,294.7976111111111
Total,N/A,N/A,N/A,Below Expected Drop Total,318.02222222222224
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,3295.628222222223
